Time,X,Y,Z,Roll,Pitch,Yaw
8784.967,-0.322,-1.978,0.236,-0.0,-0.023,1.437
8785.968,-0.252,-1.477,0.236,-0.0,0.012,1.432
8786.967,-0.184,-0.983,0.235,-0.0,0.003,1.432
8787.967,-0.115,-0.49,0.235,-0.0,-0.005,1.432
8788.967,-0.046,0.006,0.235,-0.0,0.001,1.432
8789.967,-0.043,0.019,0.235,-0.0,0.0,1.431
8790.967,-0.043,0.02,0.235,-0.0,0.0,1.431
8791.967,-0.043,0.019,0.235,-0.0,0.0,1.431
8792.967,-0.043,0.018,0.235,-0.0,0.0,1.431
8793.967,-0.043,0.02,0.235,-0.0,0.0,1.431
8794.967,-0.042,0.019,0.235,-0.0,0.0,1.43
8795.968,-0.042,0.019,0.235,-0.0,0.0,1.43
8796.968,-0.042,0.02,0.235,-0.0,0.0,1.43
8797.967,-0.04,0.019,0.235,-0.0,0.0,1.43
